,product_name,sale_price,regular_price,category
2682,napier simulated pearl stud ... earring set,10.8,18.0,earring
2683,multi colored simulated ... crystal cluster statement necklace,18.0,30.0,necklace
2684,simply vera vera wang ... simulated pearl & starburst layered necklace,20.4,34.0,earring
2685,square simulated stone stud & ... threader earring set,8.99,18.0,earring
2686,dana buchman swirl post ... earrings,9.8,14.0,earring
2687,napier faceted texture hoop ... earrings,12.0,20.0,earring
2688,"silver and gold tone heart, ... pizza & simulated crystal nickel free stud earring set",13.2,22.0,earring
2689,simulated crystal flower ... double drop earrings,10.8,18.0,earring
2690,dana buchman textured oval ... link stretch bracelet,19.6,28.0,bracelet
2691,napier cubic zirconia oval ... drop earrings,9.6,16.0,earring
2692,simply vera vera wang green ... stone hoop earrings,15.6,26.0,earring
2693,napier simulated pearl double ... drop earrings,9.6,16.0,earring
2694,dana buchman pave marquise ... link stretch bracelet,22.4,32.0,bracelet
2695,dana buchman silver tone ... textured c-hoop earrings,11.2,16.0,earring
2696,simply vear vera wang ... rhinestone chain bangle bracelet,18.0,30.0,earring
2697,napier gold tone chain & bead ... detail short layered necklace,19.2,32.0,necklace
2698,"gold tone & silver tone fries, ... flower, heart & simulated stone nickel free stud earring set",13.2,22.0,earring
2699,layered bead detail multi ... strand y-necklace,15.6,26.0,necklace
2700,napier bead tassel y necklace,19.2,32.0,necklace
2701,lc lauren conrad simulated ... crystal ring set,12.6,18.0,ring
2702,napier cubic zirconia & ... simulated pearl stud earring set,10.8,18.0,earring
2703,textured hoop earrings,8.4,14.0,earring
2704,dana buchman two tone double ... hoop earrings,12.6,18.0,earring
2705,napier simulated crystal ... textured button stud earring set,10.8,18.0,earring
2706,napier gold tone floral hoop ... earrings,9.6,16.0,earring
2707,dana buchman orbital pendant ... necklace,19.6,28.0,necklace
2708,beaded multi strand necklace,15.6,26.0,necklace
2709,napier circle pendant ... necklace,13.2,22.0,necklace
2710,filigree & purple simulated ... stone statement necklace,15.0,30.0,necklace
2711,napier scalloped hoop ... earrings,8.4,14.0,earring
2712,simply vera vera wang ... simulated stone hoop earrings,13.2,22.0,earring
2713,simply vera vera wang ombre y ... necklace,16.8,28.0,necklace
2714,lc lauren conrad simulated ... crystal & ball stud earring set,12.6,18.0,earring
2715,crystal allure fringe necklace ... & linear drop earring set,72.0,120.0,earring
2716,napier gold tone c-hoop ... earrings,9.6,16.0,earring
2717,dana buchman swarovski crystal ... drop earrings,12.6,18.0,earring
2718,simulated stone detail ... dangling teardrop hoop earrings,8.4,14.0,earring
2719,napier hoop earrings,9.6,16.0,earring
2720,napier textured ball collar ... necklace,21.6,36.0,necklace
2721,dana buchman teardrop oval ... pendant necklace,16.8,24.0,earring
2722,simulated stone marquise ... detail y-necklace,13.0,26.0,necklace
2723,dana buchman pear hoop ... earrings,12.6,18.0,earring
2724,simulated crystal statement ... drop earrings,11.0,22.0,earring
2725,simulated crystal double drop ... earrings,11.0,22.0,earring
2726,napier linked double strand ... stretch bracelet,13.2,22.0,bracelet
2727,napier textured hoop earrings,8.4,14.0,earring
2728,lc lauren conrad rainbow 3 ... ring set,12.6,18.0,ring
2729,napier simulated crystal ... textured layered hoop earrings,9.6,16.0,earring
2730,silver tone beaded y necklace,13.0,26.0,necklace
2731,silver tone circle statement ... earrings,10.8,18.0,earring
2732,crystal allure necklace & ... teardrop earring set,51.0,85.0,earring
2733,simulated crystal double hoop ... earrings,9.0,18.0,earring
2734,multi row stretch bracelet,18.0,30.0,bracelet
2735,gold tone chain tassel pendant ... necklace,13.0,26.0,necklace
2736,textured hoop drop earrings,8.4,14.0,earring
2737,simulated pearl necklace & ... drop earring set,15.6,26.0,earring
2738,silver tone flat hoop nickel ... free earrings,8.4,14.0,earring
2739,silver tone stone drop ... earrings,8.4,14.0,earring
2740,dana buchman cubic zirconia ... small drop earrings,14.0,20.0,earring
2741,rose gold tone simulated ... crystal coil bracelet,15.6,26.0,bracelet
2742,tri tone hoop earring set,9.0,18.0,earring
2743,simply vera vera wang black ... drop earrings,15.6,26.0,earring
2744,napier gold tone textured ... teardrop hoop earrings,10.8,18.0,earring
2745,simply vera vera wang two tone ... chain long station necklace necklace,20.4,34.0,necklace
2746,simulated crystal linear stone ... earrings,9.0,18.0,earring
2747,napier gold tone twisted ... collar necklace,21.6,36.0,necklace
2748,hoop & textured disc bib ... necklace,12.0,20.0,necklace
2749,snake chain & rhinestone ... multistrand statement necklace,15.0,30.0,necklace
2750,simulated crystal flower ... necklace,16.8,28.0,necklace
2751,simply vera vera wang dual ... tassel seed bead knotted lariat necklace,25.2,42.0,necklace
2752,simply vera vera wang chain ... geometric hoop earrings,12.0,20.0,earring
2753,dana buchman silver tone ... textured hoop earrings,9.8,14.0,earring
2754,lc lauren conrad twist hoop ... earrings,9.8,14.0,earring
2755,"gold tone heart, flower & ... simulated stone ring set",13.2,22.0,earring
2756,simply vera vera wang black ... cross pin,14.99,26.0,pin
2757,napier multi colored simulated ... crystal hoop earrings,10.8,18.0,earring
2758,marquise stretch bracelet,14.4,24.0,bracelet
2759,dana buchman twist braid ... detail hoop earrings,12.6,18.0,earring
2760,dana buchman gold tone thick ... hammered hoop earrings,11.2,16.0,earring
2761,simply vera vera wang red ... simulated crystal threader hoop earrings,12.0,20.0,earring
2762,necklace & stud earring set,14.4,24.0,earring
2763,"tassel, bead & charm detail ... stretch bracelet set",15.6,26.0,bracelet
2764,simply vera vera wang pink ... simulated crystal stretch bracelet,15.6,26.0,bracelet
2765,gold tone simulated stone ... heart & star ring set,13.2,22.0,earring
2766,simply vera vera wang ... simulated stone threader hoop earrings,12.0,20.0,earring
2767,gold tone organic hoop ... earrings,11.2,16.0,earring
2768,"loli bijoux breast cancer ... awareness ""surrounded by light"" cord bracelet set",31.5,42.0,bracelet
2769,napier simulated crystal ball ... drop earrings,9.6,16.0,earring
2770,simply vera vera wang ... simulated crystal mouse pin,14.99,26.0,pin
2771,peach simulated crystal multi ... row stretch bracelet,18.0,30.0,bracelet
2772,simply vera vera wang ... corkscrew texture nickel free hoop earrings,12.0,20.0,earring
2773,dana buchman crystal ball & ... chain linear drop  earrings,15.4,22.0,earring
2774,silver tone disc detail j-hoop ... earrings,8.4,14.0,earring
