Madewell Medium Perfect Leather Belt,$45.00
Rebecca Minkoff Mini Julian Nubuck Leather Convertible Backpack,$225.00
Tory Burch Mini Robinson Convertible Leather Shoulder Bag,$298.00
Zella Tech Running Gloves,$25.00
David Yurman 'Châtelaine' Pendant Necklace,$350.00
Moncler Cable Knit Beanie with Genuine Fox Fur Pom,$450.00
Rebecca Minkoff Micro Regan Leather Satchel,$245.00
Saint Laurent Quilted Calfskin Leather Wallet on a Chain,"$1,350.00"
Tory Burch Robinson Saffiano Leather Continental Wallet,$178.00
The North Face Reversible Merino Wool Beanie,$45.00
Chelsea28 Leigh Convertible Zipper Faux Leather Tote,$79.00
CALPAK Ambeur 2-Piece Spinner Luggage Set,$285.00
Rebecca Minkoff Darren Deerskin Leather Shoulder Bag,$325.00
Saint Laurent Small Kate Chain Crossbody Bag,"$1,750.00"
Kendra Scott Phillipa Bracelet,$65.00
Free People River Locks Pom Beanie,$38.00
Treasure & Bond Print Square Silk Scarf,$35.00
Madewell Medium Canvas Transport Tote,$78.00
Longchamp 'Le Pliage' Pouchette,$55.00
Tory Burch Ella Nylon Tote,$198.00
MARC JACOBS Snapshot Crossbody Bag,$295.00
Beis Travel Luggage Tag & Passport Holder Set,$25.00
Bose® Noise Masking Sleepbuds,$249.00
Rebecca Minkoff Stella Leather Tote,$198.00
Treasure & Bond Mason Water Resistant Belt Bag,$49.00
UGG® All Weather Touchscreen Compatible Quilted Gloves with Genuine Shearling Trim,$75.00
David Yurman 'Oval' Link Bracelet,$350.00
kate spade new york bright ideas pavé halo stud earrings,$48.00
Sole Society Nuddo Faux Leather Tote,$64.95
kate spade new york jackson street - kiernan leather laptop tote,$398.00
Nordstrom Finn Leather Crossbody Bag,$99.00
kate spade new york hadley road small dina leather shoulder/crossbody bag,$298.00
BP. Bar Charm Necklace,$14.00
Rebecca Minkoff Julian Backpack,$295.00
Burberrry Baby Banner Leather Satchel,"$1,190.00"
Saint Laurent Kate Tassel Calfskin Leather Shoulder Bag,"$1,990.00"
kate spade new york cameron street - corin crossbody bag,$178.00
David Yurman 'Cable Classics' Band Ring,$145.00
kate spade new york jackson street small harlyn leather crossbody bag,$228.00
Kendra Scott Elisa Birthstone Pendant Necklace,$50.00
Saint Laurent Lou Matelassé Leather Belt Bag,$995.00
Tory Burch McGraw Triple Compartment Leather Satchel,$498.00
Kendra Scott Elisa Filigree Pendant Necklace,$60.00
BP. Geo Colorblock Scarf,$29.00
Kendra Scott Fern Pendant Necklace,$45.00
BP. 59mm Perfect Cat Eye Sunglasses,$14.00 – $16.00
BP. Pendant Necklace,$16.00
Madewell Canvas Transport Tote,$58.00
Topshop Faux Fur Double Pompom Beanie,$26.00
Rebecca Minkoff 'Slim Regan' Hobo,$345.00
Burberry Giant Check Reversible Tote,"$1,450.00"
Tory Burch Mini Robinson Convertible Leather Shoulder Bag,$298.00
Nordstrom Leather Phone Crossbody Bag,$79.00
MARC JACOBS Snapshot Leather Wallet on a Chain,$265.00
Tory Burch Reversible Leather Belt,$138.00
Ted Baker London Edyth Leather Cardholder with Mirror,$65.00
BP. Leopard Stripe Knit Scarf,$24.00
"David Yurman Cable Classics Bracelet with Semiprecious Stones & 14K Gold, 5mm",$550.00 – $595.00
Tory Burch McGraw Leather Hobo,$398.00
Monica Vinader Engravable Havana Mini Friendship Bracelet,$135.00 – $150.00
Tory Burch Robinson Leather Tote,$348.00
kate spade new york bright idea drop earrings,$48.00
kate spade new york bright idea drop earrings,$48.00
Saint Laurent Small Mono Leather Camera Bag,$995.00
Rebecca Minkoff Patchwork Jacquard Pompom Beanie,$38.00
kate spade new york shine on stud earrings,$38.00
Tory Burch Robinson Leather Card Case,$68.00
Nordstrom Mya Leather Crossbody Bag,$99.00
Free People Emerson Plaid Scarf,$58.00
Tory Burch Fleming Leather Wallet/Crossbody,$348.00
Sole Society Zeda Faux Leather Tote,$49.95
BP. Plate & Disc Layered Necklace,$19.00
Bang & Olufsen E8 True Wireless Earphones,$299.00
David Yurman 'Wheaton' Petite Ring with Semiprecious Stone & Diamonds,$495.00 – $595.00
MARC JACOBS Mini The Boho Grind Leather Shoulder Bag,$325.00
"Tory Burch Classic-T Leather Strap Watch, 36mm",$250.00
Tory Burch Fleming Quilted Leather Crossbody Bag,$378.00
Kendra Scott Miku Drop Earrings,$60.00
Rebecca Minkoff Mini Julian Pebbled Leather Convertible Backpack,$195.00
Tory Burch Miller Leather Crossbody Bag,$398.00
BP. Plaid Poncho,$39.00
Tory Burch Kira Leather Envelope Clutch,$278.00
Tory Burch Robinson Small Leather Satchel,$348.00
Herschel Supply Co. Novel Duffel Bag,$85.00
gorjana Power Gemstone Charm Adjustable Necklace,$48.00
Rebecca Minkoff Slim Regan Leather Hobo,$345.00
Quay Australia x Jaclyn Hill Roxanne 62mm Stud Aviator Sunglasses,$65.00
Longchamp Le Pliage Club Tote,$155.00
David Yurman 'Color Classics' Bangle Bracelet,$350.00
Burberry Heritage Giant Check Fringed Cashmere Muffler,$430.00
Gucci Medium GG Marmont 2.0 Matelassé Leather Shoulder Bag,"$2,490.00"
Beis Travel Multi Function Travel Backpack,$62.00
Halogen® Refined Wide Brim Wool Floppy Hat,$39.00
Halogen® Lightweight Cashmere Scarf,$149.00
Tory Burch Small McGraw Leather Tote,$348.00
kate spade new york cameron street large hilli leather crossbody bag (Nordstrom Exclusive),$198.00
Burberry Square Leather Shoulder Bag,"$1,850.00"
Givenchy 'Mini Antigona' Sugar Leather Satchel,"$1,790.00"
Kendra Scott Elaina Bracelet,$60.00 – $65.00
Burberry Embossed Crest Small Leather Tote,$950.00
kate spade new york reese park - ellery leather crossbody bag,$198.00
kate spade new york cameron street large hilli leather crossbody bag (Nordstrom Exclusive),$198.00
Kendra Scott Pattie Pendant Necklace,$65.00
Chelsea28 Reese Ring Crossbody Bag,$49.00
kate spade new york watson lane - lucie nylon crossbody bag,$158.00
kate spade new york 'rise & shine' stud earrings,$38.00
Tory Burch Fleming Leather Wallet/Crossbody,$348.00
Tory Burch Tilda Slouchy Nylon Satchel,$278.00
kate spade new york jackson street - quincy leather hobo,$298.00
Madewell Vermeil Astrological Sign Necklace,$58.00
Longchamp Small Le Pliage Neo Nylon Tote,$175.00
Kendra Scott Lee Small Drop Earrings,$60.00 – $65.00
kate spade new york cameron street - sally leather satchel,$378.00
Tory Burch Fleming Quilted Leather Top Handle Satchel,$498.00
Burberry 1983 Check Cotton & Leather Envelope Clutch,$400.00
Tory Burch Tilda Nylon Crossbody Bag,$198.00
MARC JACOBS The Softshot 21 Crossbody Bag,$350.00
MantraBand® 'She Believed She Could' Cuff,$25.00 – $35.00
"Tory Burch Reva Logo Dial Double Wrap Leather Strap Watch, 28mm",$225.00
Tory Burch Small Fleming Leather Convertible Shoulder Bag,$458.00
Madewell Stembend Ear Jackets,$25.00
Bony Levy 18k Gold Pavé Diamond Initial Pendant Necklace (Nordstrom Exclusive),$498.00
Tory Burch McGraw Leather Crossbody Wallet,$298.00
Rebecca Minkoff Jean Leather Crossbody Bag,$198.00
Nordstrom Kara Leather Expandable Crossbody Bag,$149.00
Chelsea28 Faux Leather Wallet on a Chain,$49.00
Patagonia 'Better Sweater' Gloves,$49.00
The North Face Minna Mittens,$45.00
Tumi Voyager Carson Nylon Backpack,$375.00
The North Face E-Tip Gloves,$45.00
kate spade new york uni slim laptop commuter bag,$168.00
The North Face 'Jester' Backpack,$65.00
Ted Baker London Abriana Bow Matinée Wallet on a Chain,$159.00
Rebecca Minkoff Mini Julian Nubuck Leather Convertible Backpack,$225.00
Kendra Scott Wavy Pendant Necklace,$60.00
"David Yurman Cable Classics Bracelet with Semiprecious Stones & 14K Gold Accent, 5mm",$625.00
Sole Society Rubie Faux Leather Crossbody Bag,$59.95
BP. Multi Square Scarf,$29.00
Tory Burch Scout Nylon Diaper Tote,$398.00
Kendra Scott Leanor Pendant Necklace,$60.00 – $75.00
Dana Rebecca Designs Mini Diamond Huggies,$355.00
Fjällräven 'Kånken' Laptop Backpack (15 Inch),$115.00
Tory Burch Reversible Leather Belt,$178.00
Christian Louboutin Cabata Calfskin Leather Tote,"$1,350.00"
gorjana Laguna Adjustable Lariat Necklace,$75.00
Nordstrom 4ct tw Cubic Zirconia Earrings,$52.00
Ted Baker London Zip Leather Card Holder,$65.00
David Yurman 'Color Classics' Set of 2 Bangles with Semiprecious Stones,$395.00
Bose® QuietComfort® 35 Acoustic Noise Cancelling® Bluetooth® Headphones,$349.00
kate spade new york cameron street – mikey crosshatched leather wallet,$88.00
UGG® Touchscreen Compatible Leather Gloves with Genuine Shearling Trim,$100.00
Nordstrom Reversible Ruana,$49.00
MARC JACOBS The Editor Leather Tote,$495.00
Burberry Scribble Vintage Check Silk Square Scarf,$420.00
MZ Wallace Medium Metro Tote,$215.00
Leith Croc Embossed Double Pouch Crossbody Bag,$49.00
Burberry 'Porter' Continental Wallet,$490.00
Kendra Scott Elle Filigree Drop Earrings,$55.00
Madewell Lorimer Leather Backpack,$198.00
BP. 3-Pack Hoop Earrings,$16.00
Madewell Band Ring,$18.00
Gucci Mini Dionysus GG Supreme Shoulder Bag,"$1,690.00"
Fitbit Special Edition Alta HR Wireless Heart Rate and Fitness Tracker,$149.95
Madewell Medium Leather Transport Tote,$168.00
Nordstrom Chevron 18-Inch Spinner Carry-On,$139.00
Tory Burch McGraw Triple Compartment Leather Satchel,$498.00
Topshop Freddy Faux Fur Tote Bag,$52.00
Tory Burch Fleming Leather Convertible Shoulder Bag,$498.00
Rebecca Minkoff Washed Nylon Tote,$145.00
MARC JACOBS The Editor Leather Tote,$495.00
David Yurman Cable Classics Bracelet,"$1,100.00 – $1,450.00"
Gucci Petite Marmont Leather Card Case,$380.00
Halogen® x Atlantic-Pacific Cashmere Lined Leather Gloves,$99.00
BaubleBar 'Kew' Crystal Collar Necklace,$68.00
MARC JACOBS The Box Leather Handbag,$395.00
Nordstrom Pavé Half Stone Huggie Hoop Earrings,$39.00
kate spade new york burgess court - brennan glitter leather crossbody clutch,$128.00
Rebecca Minkoff Nylon Backpack,$95.00
MARC JACOBS The Grind Mini Colorblock Leather Tote,$295.00
Kendra Scott Elle Filigree Drop Earrings,$65.00
David Yurman 'Oval' Large Link Bracelet,$450.00
Halogen® Double Ring Leather Belt,$39.00
MCM Klara Monogrammed Leather Hobo Bag,$765.00
Quay Australia After Hours 50mm Square Sunglasses,$55.00
Nordstrom Shimmer Wrap,$39.00
David Yurman Cable Loop Ring with 18K Gold,$325.00
Tory Burch Miller Leather Clutch,$248.00
kate spade new york daveney 15 inch laptop bag,$248.00
Kendra Scott Bethany Y-Shaped Necklace,$125.00
kate spade new york front/back bauble studs,$44.00
kate spade new york leather iPhone 7/8 & 7/8 Plus case,$75.00 – $85.00
Vince Camuto Small Niki Leather Tote,$198.00
Canada Goose Arctic Disc Merino Wool Toque Beanie,$175.00
Nordstrom Finn Leather Crossbody Bag,$99.00
Monica Vinader Diamond Eternity Ring,$395.00 – $425.00
gorjana Shimmer Layered Necklace,$75.00
Kendra Scott Ever Pendant Necklace,$65.00
Monica Vinader Alphabet Pendant Charm,$135.00
kate spade new york she has spark stud earrings,$58.00
Treasure & Bond Oval Buckle Leather Belt,$49.00
Tory Burch Pavé Logo Pendant Necklace,$98.00
J.Crew Harper Leather Continental Wallet,$128.00
Tory Burch Robinson Leather Passport Continental Wallet,$228.00
Rebecca Minkoff 'Micro Regan' Satchel,$225.00
Ted Baker London Eves Accordion Leather Card Case,$79.00
Sole Society 'Cassidy' Faux Leather Duffel Bag,$69.95
Halogen® Solid Cashmere Wrap Scarf,$299.00
Rebecca Minkoff Leo Envelope Clutch,$95.00
Madewell The Leather Pouch Clutch,$49.50
Ted Baker London Joannaa Crossbody Pebbled Leather Bag,$195.00
Madewell Star & Moon Hoop Earrings,$28.00
Burberry Rainbow Stripe Vintage Check Cashmere Scarf,$430.00
Chelsea28 Cassie Faux Leather Circle Crossbody Bag,$49.00
Saint Laurent Medium Loulou Calfskin Leather Shoulder Bag,"$2,150.00"
Longchamp Le Pliage Club Backpack,$140.00
Tory Burch Tilda Nylon Swingpack,$178.00
Nordstrom Metallic Lightweight Wrap,$39.00
Burberry Baby Macken Vintage Check Crossbody Bag,$990.00
Halogen® Square Keeper Calf Hair Belt,$35.00
Nordstrom Pavé Eternity Band,$39.00
"Michael Kors Large Lexington Chronograph Bracelet Watch, 45mm",$275.00
CALPAK Kaya Faux Leather Round Backpack,$75.00
Topshop Madrid Studded Faux Leather Shoulder Bag,$60.00
Tory Burch Ella Printed Tote,$228.00
kate spade new york jackson street - kiernan leather laptop tote,$398.00
Rebecca Minkoff Small Darren Deerskin Leather Feed Bag,$295.00
Sole Society Emery Faux Leather Backpack,$59.95
Topshop Finley Reversible Faux Fur Tote Bag,$52.00
BP. Pavé Crystal Bar Necklace,$12.00
The North Face Jim Beanie,$25.00
Topshop Blair Circle Bag,$48.00
J.Crew Pavé Resin Statement Earrings,$65.00
Treasure & Bond Ryan Leather Top Handle Crossbody Bag,$99.00
BP. Circle & Bar Layered Necklace,$19.00
Nike Radiate Backpack,$60.00
Nordstrom Packable Convertible Backpack,$49.99
kate spade new york jackson street - ellery leather crossbody bag,$178.00
Kendra Scott Charmian Drop Earrings,$80.00
kate spade new york jackson street - colette leather satchel,$298.00
Topshop Panther Crossbody Bag,$48.00
J.Crew Tassel Pendant Necklace,$39.50
J.Crew Imitation Pearl Hammock Necklace,$98.00
Longchamp 'Medium Le Pliage Neo' Nylon Top Handle Tote,$245.00
MARC JACOBS Medium Trek Nylon Backpack,$195.00
Treasure & Bond Skyler Leather Top Handle Bag,$149.00
Saint Laurent Monogram Leather Bill Pouch,$350.00
kate spade new york 'idiom - stop and smell the roses' bangle,$32.00
Bony Levy Diamond Stud Earrings (Nordstrom Exclusive),"$575.00 – $13,330.00"
Nordstrom Half Moon Leather Crossbody Bag,$99.00
Ted Baker London Leather Backpack,$295.00
Halogen® Square Keeper Belt,$29.00
Madewell Chunky Medium Hoop Earrings,$24.00
Nordstrom 0.5 ct tw Cubic Zirconia Pendant Necklace,$55.00
Nordstrom Leather Wallet on a Strap,$79.00
gorjana Wilshire Connected Loop Necklace,$55.00
Bose® SoundSport® Wireless Headphones,$149.00
BP. 2-Layer Star Necklace,$16.00
David Yurman 'Crossover' Wide Ring with Diamonds,$850.00
kate spade new york burgess court - ivey glitter leather card holder,$78.00
Halogen® Ribbed Cashmere Head Wrap,$39.00
Madewell Simple Leather Crossbody Bag,$98.00
The North Face Minna Cable Knit Beanie,$35.00
Tory Burch Fleming Distressed Leather Tote,$598.00
Kendra Scott Elaina Bracelet,$85.00
kate spade new york north/south leather smartphone crossbody bag,$128.00
Saint Laurent Monogram Quilted Leather Credit Card Case,$275.00
Kendra Scott Rae Long Filigree Pendant Necklace,$80.00
Kendra Scott Elaina Beaded Bracelet,$75.00
Burberry London Graffiti Jacquard Scarf,$350.00
Tory Burch Robinson Envelope Continental Wallet,$228.00
Rebecca Minkoff Julian Nylon Backpack,$145.00
Madewell Glitter Star Statement Earrings,$29.50
gorjana Brinn Shimmer Pendant Necklace,$60.00
Sole Society 'Lacie' Faux Leather Duffel Bag,$84.95
